순위,도서명,상세링크,저자,출판사,출판일,판매가,정가,판매지수,평점,리뷰수,책소개
1,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",https://www.yes24.com/product/goods/189114943,차진우,골든래빗,2026년 05월,"25,200","28,000","40,350",9.7,12,"""나도 똑똑한 AI 비서 하나 있었으면 좋겠다""라고 누구나 한 번쯤 생각해봤을 것이다. 그렇다면 수많은 AI 중에서 어떤 것을 선택해야 할까? 챗GPT나 제미나이도 훌륭하지만, 진짜 내 일을 믿고 맡길 완벽한 업무 파트너를 원한다면 정답은 단연 ‘클로드’다."
2,혼자 공부하는 바이브 코딩 with 클로드 코드,https://www.yes24.com/product/goods/167573138,조태호,한빛미디어,2025년 12월,"27,000","30,000","80,943",9.9,170,"AI가 코드를 대신 쓰는 시대, 이제 코딩은 ‘배워야 하는 기술’에서 ‘활용하면 더 유용한 도구’가 되었다. 이 책은 그 변화의 한가운데에서 탄생한 『혼자 공부하는』 시리즈 최초의 AI 기반 코딩 입문서이다. 프로그래밍을 전혀 모르는 독자라도 책의 흐름대로 따라 하기만 하면 실제로 동작하는 웹 앱을 자신의 손으로 만들어내는 경험을 하게 된다. 설치부터 실습, 오류 해결, 배포까지 이어지는 완성형 워크플로가 담겨 있어, ‘처음 만들기’의 장벽을 낮추고 ‘끝까지 완주하기’라는 성취감을 자연스럽게 이끌어낸다."
3,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,https://www.yes24.com/product/goods/192148896,코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,"19,800","22,000","14,850",10.0,34,"AI 시대, 이제 하나의 도구에만 의존하는 시대는 끝났습니다. 챗GPT, 제미나이, 클로드는 각각 고유한 강점을 지닌 현존 최강의 AI 3대장입니다. 이 책은 세 AI를 균형 있게 익히고 업무 상황에 맞게 골라 쓸 수 있도록 설계되었습니다. 창의적 발상에 강한 챗GPT, 구글 생태계와 연동되는 제미나이, 문서 분석과 핵심 정리에 뛰어난 클로드는 서로 경쟁하는 도구가 아니라, 내 일을 돕는 각기 다른 역할의 팀원입니다."
4,이게 되네? 제미나이 완전 미친 활용법 81제,https://www.yes24.com/product/goods/176901674,오힘찬,골든래빗,2026년 02월,"21,600","24,000","78,570",9.8,161,2025년 12월 구글은 제미나이 3.5(Gemini 3.5)를 발표하면서 다양한 기능의 변화를 공개했습니다. 이제 제미나이 3.5는 우리 곁의 유능하고 능동적인 업무 파트너로 완전히 진화했습니다. 이 책에 현존 최강 제미나이의 최신 변화를 온전히 담아 더욱 유용하게 활용할 수 있도록 안내합니다.
5,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",https://www.yes24.com/product/goods/169849422,"안익재, 황의태",앤써북,2025년 12월,"17,820","19,800","46,059",10.0,93,"요즘 교사들이 가장 많이 사용하는 5가지 에듀테크를 수업과 업무 완성에 어떻게 활용했고, 어떻게 활용할 수 있는지 50가지 주제별 실습과 100가지 실제 활용 사례와 활용 방법을 통해 배운다. 이 책은 요즘 교사들이 가장 많이 활용하는 캔바, 패들렛, 북크리에이터, 노션, 챗GPT?제미나이 5가지 에듀테크를 수업준비, 학급경영, 행정업무, 상담, 연수준비, 교사 개인업무, 교사협업, 바이브코딩에 어떻게 활용했고, 어떻게 활용할 수 있는지 그 구체적인 방법을 실습 예제와 사례로 설명했다. 5가지 에듀테크를 활용한 50가지 목적별, 주제별 실습과 100가지 실전 사례와 활용 사례를 통해 수업과 업무 대혁신을 기대할 수 있는 실전 입문서이다!"
6,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],https://www.yes24.com/product/goods/193587161,스튜디오 홍차,골든래빗,2026년 07월,"23,220","25,800","4,740",10.0,3,스톡 이미지는 단거리 달리기보다 마라톤에 가깝습니다. 단 1달러의 첫 수익에서 시작해 현재 월 300만 원 이상의 자동 수익 구조를 만들어낸 7년 차 스톡 작가 ‘스튜디오 홍차’의 실전 노하우를 모두 담았습니다. 비싼 장비나 화려한 전공 지식이 없어도 괜찮습니다. 스마트폰(메디방페인트)이나 아이패드(프로크리에이트) 하나만 있으면 지금 당장 스톡 작가로 데뷔할 수 있습니다.
7,"AI 시대의 질문력, 프롬프트 엔지니어링",https://www.yes24.com/product/goods/150566390,류한석,코리아닷컴(Korea.com),2025년 08월,"24,300","27,000","78,219",9.5,63,대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!
8,한눈에 보는 AI 반도체 산업,https://www.yes24.com/product/goods/183751609,MrTrigger,한빛미디어,2026년 03월,"23,400","26,000","16,434",9.9,148,
9,하네스 엔지니어링 with 클로드 코드,https://www.yes24.com/product/goods/189818905,황민호,한빛미디어,2026년 06월,"27,000","30,000","20,415",9.4,29,"AI 에이전트를 도구로 쓰는 단계를 넘어, 스스로 일하는 에이전트 팀을 직접 설계하고 운영하는 방법인 하네스 엔지니어링을 체계적으로 정리한 최초의 실전서다. 이 책의 저자이자, 카카오 FDE팀의 황민호(로빈 황) 수석이 공개한 하네스 관련 오픈소스 자료는 깃허브에서 3천 개 이상의 별(star)을 받으며 이미 개발자 커뮤니티의 주목을 받은 바 있다."
10,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/189413191,"공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,"19,800","22,000","12,537",9.9,105,"시중의 에듀테크 도구들은 범용적이지만 정작 우리 반 아이들에게 딱 맞는 기능을 찾기는 어렵고, 복잡한 가입 절차와 온보딩 과정은 수업의 본질을 흐리기도 한다. 이제는 교사가 직접 수업에 필요한 도구를 만들어 내는 시대가 왔다."
